,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
86,sheep,group_together,-0.07,-0.048,-0.086,-0.009,0.015,-0.036,0.075,-0.055,-0.007,-0.056
87,sheep,Average,-0.001333333,0.021,0.077,-0.025,0.040666667,0.012,0.054333333,-0.030333333,0.012666667,0.031666667
88,cow,produce_methane_gas,-0.02,0.089,-0.013,0.048,0.019,0.029,0.003,-0.08,0.003,-0.008
89,cow,jump_over_the_moon,0.078,0.059,-0.028,0,0.067,-0.051,0.061,-0.022,0.168,-0.005
90,cow,low_for_her_calf,-0.074,0.003,-0.034,-0.015,0.064,0.03,0.084,-0.005,0.112,-0.007
91,cow,low_BY_MOOING,-0.004,-0.026,-0.027,0.095,0.058,-0.03,-0.026,0.024,0.171,0.034
92,cow,blow_his_horn,-0.05,0.162,0.066,-0.02,-0.021,0.076,-0.039,0.073,0.193,-0.05
93,cow,Average,-0.014,0.0574,-0.0072,0.0216,0.0374,0.0108,0.0166,-0.002,0.1294,-0.0072
94,elephant,carry_a_trunk,-0.056,0.022,-0.125,0.046,0.023,0.07,-0.008,0.028,0.373,0.032
95,elephant,forget_to_go_on_the_paper,0.014,0.042,0.026,0.013,0.096,0.009,0.026,-0.006,-0.036,-0.08
96,elephant,weigh_up_to_14000_pounds,0.09,-0.037,0.022,0.025,0.095,-0.014,-0.093,-0.016,0.131,0.019
97,elephant,to_lift_the_tree,-0.061,-0.078,0.034,0.024,0.121,0.045,-0.017,0.017,0.085,0.011
98,elephant,remember_water_sources,-0.016,-0.077,-0.006,0.054,0.109,-0.047,0,-0.044,0.006,-0.072
99,elephant,Average,-0.0058,-0.0256,-0.0098,0.0324,0.0888,0.0126,-0.0184,-0.0042,0.1118,-0.018
100,bear,hunt_a_rabbit,0.035,-0.097,0,0.031,0.095,-0.067,-0.087,-0.047,0.305,-0.052
101,bear,fish_for_salmon,-0.042,-0.04,-0.039,-0.027,0.009,0.155,0.063,0.047,0.082,-0.046
102,bear,winter_over_in_his_den,0.091,0.069,0.068,0.015,-0.005,-0.04,-0.035,0.04,-0.039,0.055
103,bear,"""fish_with_its_paws""",0,0,0,0,0,0,0,0,0,0
104,bear,swim,0.056,0.012,-0.052,-0.013,-0.054,0.077,0.103,0.027,0.015,0.035
105,bear,Average,0.028,-0.0112,-0.0046,0.0012,0.009,0.025,0.0088,0.0134,0.0726,-0.0016
106,zebra,,0,0,0,0,0,0,0,0,0,0
107,zebra,Average,0,0,0,0,0,0,0,0,0,0
108,giraffe,drink_water,0.045,-0.049,0.036,-0.038,0.067,0.004,0.01,-0.026,0.041,-0.025
109,giraffe,Average,0.045,-0.049,0.036,-0.038,0.067,0.004,0.01,-0.026,0.041,-0.025
110,backpack,free_your_hands_while_walking,0.059,0.018,-0.04,-0.025,0.128,-0.001,-0.017,0.002,0.06,0.016
111,backpack,carry_a_load,-0.056,0.022,-0.125,0.046,0.023,0.07,-0.008,0.028,0.373,0.032
112,backpack,Average,0.0015,0.02,-0.0825,0.0105,0.0755,0.0345,-0.0125,0.015,0.2165,0.024
113,umbrella,shade_people_from_the_sun,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
114,umbrella,shade_a_table,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
115,umbrella,shade_bathers,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
116,umbrella,shade_you_from_the_sun,-0.012,0.019,-0.047,-0.011,-0.001,0.032,0.015,-0.054,0.114,-0.125
117,umbrella,be_any_color,0.009,-0.015,0.029,0.078,0.15,-0.05,-0.08,-0.025,0.241,-0.001
118,umbrella,Average,-0.0078,0.0122,-0.0318,0.0068,0.0292,0.0156,-0.004,-0.0482,0.1394,-0.1002
119,handbag,,0,0,0,0,0,0,0,0,0,0
120,handbag,Average,0,0,0,0,0,0,0,0,0,0
121,tie,,0,0,0,0,0,0,0,0,0,0
122,tie,Average,0,0,0,0,0,0,0,0,0,0
123,suitcase,,0,0,0,0,0,0,0,0,0,0
124,suitcase,Average,0,0,0,0,0,0,0,0,0,0
125,frisbee,descend_slowly_by_hovering,0.032,-0.035,-0.026,0.046,-0.023,-0.006,0.041,-0.054,-0.017,0.066
