,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
334,salt_shaker,setting_on_the_dining_room_table,0.022,-0.039,0.09,0.035,0.1,0.069,0.108,0.01,0.017,-0.025
335,salt_shaker,Average,-0.0108,-0.0346,0.0162,-0.0142,0.0682,0.0194,0.019,0.0074,0.0206,-0.0278
336,scrub_brush,,0,0,0,0,0,0,0,0,0,0
337,scrub_brush,Average,0,0,0,0,0,0,0,0,0,0
338,shelf,storing_books,0.003,-0.055,-0.03,0.002,0.113,0.04,-0.013,0.061,0,0.05
339,shelf,store_things,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
340,shelf,holding_books,0.011,-0.004,-0.026,0.024,0.045,0.007,0.041,0.038,0.114,0.06
341,shelf,displaying_knicknacks,0.187,0.005,-0.02,-0.029,0.063,-0.011,0.056,0.077,-0.048,0.005
342,shelf,storage,0.001,-0.056,0.031,-0.024,0.126,0.064,-0.035,0.054,0.028,0.227
343,shelf,Average,0.0562,-0.0278,0.0224,-0.01,0.085,0.0214,0.0054,0.0784,0.0132,0.0792
344,shelving_unit,,0,0,0,0,0,0,0,0,0,0
345,shelving_unit,Average,0,0,0,0,0,0,0,0,0,0
346,shower_curtain,have_privacy,-0.014,-0.041,0.064,0.018,0.116,-0.046,-0.013,0.015,0.207,0.035
347,shower_curtain,seperating_the_shower_from_the_bathroom,0.048,0.091,0.041,0.009,-0.027,-0.026,0,0.136,-0.002,0.07
348,shower_curtain,providing_a_water_barrier,0.052,0.032,0.025,-0.062,0.08,0.047,0.034,0.054,0.039,-0.041
349,shower_curtain,keeing_the_water_in_the_shower,-0.047,-0.061,-0.025,0.066,0.008,0.096,-0.029,0.091,-0.002,-0.047
350,shower_curtain,blocking_water,0.043,-0.026,-0.003,0.065,0.013,-0.036,-0.015,0.042,0.024,0.008
351,shower_curtain,Average,0.0164,-0.001,0.0204,0.0192,0.038,0.007,-0.0046,0.0676,0.0532,0.005
352,shower_door,privacy,0,0.087,-0.07,-0.042,0.167,-0.021,0.006,0.051,0.008,-0.063
353,shower_door,keep_water_off_the_bathroom_floor,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
354,shower_door,keeping_the_bathroom_from_getting_wet,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
355,shower_door,entry_and_exit_to_the_shower,0.006,-0.066,-0.033,-0.037,0.069,-0.021,-0.028,0.116,0.015,0.093
356,shower_door,non_slip_access,0.054,0.039,-0.041,-0.169,0.062,-0.051,0.049,-0.029,-0.018,0.021
357,shower_door,Average,-0.0122,0.0144,-0.0174,-0.0276,0.0954,-0.0162,-0.027,0.0132,0.0578,-0.0014
358,shower_glass,,0,0,0,0,0,0,0,0,0,0
359,shower_glass,Average,0,0,0,0,0,0,0,0,0,0
360,shower_head,adjust_water_flow,0.246,-0.096,0.142,-0.058,0.052,0.016,-0.046,0.027,0.018,0.039
361,shower_head,spray_water,-0.134,0.094,0.017,0.044,-0.008,-0.029,0.04,-0.017,0.045,0.006
362,shower_head,control_the_water_spray,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
363,shower_head,wash_yout_body,-0.133,0.031,0.046,0.297,0.076,0.294,0.034,0.03,0.116,0.021
364,shower_head,take_a_shower,0.065,0.015,-0.016,0.107,0.106,0.015,-0.006,0.004,0.275,0.129
365,shower_head,Average,0.0796,0.0004,0.0392,0.075,0.0908,0.0936,-0.0048,0.0218,0.1052,0.0264
366,side_table,,0,0,0,0,0,0,0,0,0,0
367,side_table,Average,0,0,0,0,0,0,0,0,0,0
368,sink,hold_dirty_dishes,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
369,sink,rinse_dishes,0.112,-0.063,-0.001,0.222,0.056,0.069,0.012,-0.02,0.091,-0.034
370,sink,brushing_teeth,-0.013,-0.012,0.093,0.158,0.07,0.02,0.007,-0.03,-0.032,0.013
371,sink,drain_off_water,0.035,-0.011,0.154,0.067,0.036,0.006,0.037,-0.003,-0.044,-0.057
372,sink,soak_dishes,-0.109,-0.064,0.032,0.064,0.016,-0.007,0.058,-0.041,0.153,-0.018
373,sink,Average,0.012,-0.0318,0.0624,0.1232,0.0338,0.0184,0.0134,-0.0278,0.0758,-0.0164
374,sink_basin,,0,0,0,0,0,0,0,0,0,0
375,sink_basin,Average,0,0,0,0,0,0,0,0,0,0
376,soap_bar,,0,0,0,0,0,0,0,0,0,0
377,soap_bar,Average,0,0,0,0,0,0,0,0,0,0
