,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
27,book,teach_that_the_earth_is_round,0.084,0.048,0.017,0.002,0.074,0.116,0.023,0.015,0.017,0.06
28,book,Average,0.0245,0.0135,-0.0475,0.0075,0.0615,0.046,0.009,0.0365,0.0475,0.0005
29,boots,,0,0,0,0,0,0,0,0,0,0
30,boots,Average,0,0,0,0,0,0,0,0,0,0
31,bottle,hold_water,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
32,bottle,quiet_a_baby,0.014,0.007,0.061,0.054,-0.059,0.076,-0.015,0.026,0.009,0.063
33,bottle,store_wine,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
34,bottle,Average,0.042666667,-0.010333333,0.084,0.045333333,0.003333333,0.029,-0.028,0.047666667,0.064,0.043666667
35,bowl,keep_water_in_it,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
36,bowl,Average,-0.021,-0.026,0.019,0.056,0.078,-0.003,-0.08,-0.015,0.193,0.022
37,box,store_food,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
38,box,hold_things,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
39,box,store_clothes,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
40,box,hold_a_secret,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
41,box,store_objects,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
42,box,Average,0.0614,-0.021,0.1078,0.0282,0.0432,0.0058,-0.032,0.0792,0.0676,0.038
43,bread,rise_in_an_oven,-0.007,0.013,-0.07,0.007,0.014,0.013,-0.051,-0.101,0.138,-0.009
44,bread,get_STALE,-0.025,0.048,0.026,0.111,0.138,0.036,0.004,0.034,0.389,0.079
45,bread,rise_slowly,-0.007,0.013,-0.07,0.007,0.014,0.013,-0.051,-0.101,0.138,-0.009
46,bread,turn_into_toast,0.188,-0.027,0.085,0.027,0.089,0.021,0.038,0.097,0.312,0.039
47,bread,rise_until_it_doubles_in_volume,-0.007,0.013,-0.07,0.007,0.014,0.013,-0.051,-0.101,0.138,-0.009
48,bread,Average,0.0284,0.012,-0.0198,0.0318,0.0538,0.0192,-0.0222,-0.0344,0.223,0.0182
49,butter_knife,butter_bread,-0.02,-0.037,0.014,-0.008,0.005,0.335,0.055,-0.037,-0.025,0.048
50,butter_knife,Average,-0.02,-0.037,0.014,-0.008,0.005,0.335,0.055,-0.037,-0.025,0.048
51,cabinet,hold_things,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
52,cabinet,Average,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
53,candle,emit_light,0.05,0.046,-0.006,0.037,0.034,0.029,0.064,-0.016,0.047,0.033
54,candle,burn_brightly,-0.06,0.025,-0.014,-0.078,-0.019,0.064,0.024,0.056,-0.074,-0.016
55,candle,be_a_fire_hazard,0.009,-0.015,0.029,0.078,0.15,-0.05,-0.08,-0.025,0.241,-0.001
56,candle,burn_at_both_ends,-0.102,0.041,-0.005,-0.079,-0.015,0.042,-0.042,0.053,-0.033,0.002
57,candle,light_a_small_room,0.126,0.057,0.064,0.017,-0.018,-0.058,0.058,-0.004,-0.08,0.092
58,candle,Average,0.0046,0.0308,0.0136,-0.005,0.0264,0.0054,0.0048,0.0128,0.0202,0.022
59,cd,store_data,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
60,cd,Average,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
61,cell_phone,,0,0,0,0,0,0,0,0,0,0
62,cell_phone,Average,0,0,0,0,0,0,0,0,0,0
63,chair,be_facing_a_door,0,-0.056,0.021,0.047,0.099,-0.039,-0.058,-0.02,0.276,-0.003
64,chair,stand_alone,0.046,-0.02,-0.072,-0.063,0.041,0.02,-0.038,0.059,0.072,-0.035
