,Unnamed: 0,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
58,58,candle,Average,0.0046,0.0308,0.0136,-0.005,0.0264,0.0054,0.0048,0.0128,0.0202,0.022
60,60,cd,Average,0.079,-0.029,0.157,-0.023,0.078,0.007,-0.022,0.162,-0.028,0.054
62,62,cell_phone,Average,0,0,0,0,0,0,0,0,0,0
67,67,chair,Average,0.03525,-0.033,0.001,0.0025,0.0665,-0.02825,-0.0455,0.029,0.193,0.00675
72,72,cloth,Average,-0.015,0.001,0.01475,0.09225,0.047,0.064,0.01575,0.03325,0.065,0.046
74,74,coffee_machine,Average,0,0,0,0,0,0,0,0,0,0
76,76,coffee_table,Average,0,0,0,0,0,0,0,0,0,0
78,78,counter_top,Average,0,0,0,0,0,0,0,0,0,0
84,84,credit_card,Average,-0.0398,0.0038,0.0132,0.001,0.21,0.0778,0.033,-0.0234,0.0598,-0.0224
87,87,cup,Average,0.057,-0.019,0.0955,0.041,0.0345,0.0055,-0.0345,0.0585,0.0915,-0.493
89,89,curtains,Average,0.031,-0.036,0.027,0.061,0.027,0.041,0.077,0.003,0.049,0.04
91,91,desk,Average,0,0,0,0,0,0,0,0,0,0
93,93,desk_lamp,Average,0,0,0,0,0,0,0,0,0,0
95,95,desktop,Average,0,0,0,0,0,0,0,0,0,0
97,97,dining_table,Average,0,0,0,0,0,0,0,0,0,0
99,99,dish_sponge,Average,0,0,0,0,0,0,0,0,0,0
101,101,dog_bed,Average,0,0,0,0,0,0,0,0,0,0
103,103,drawer,Average,0,0,0,0,0,0,0,0,0,0
105,105,dresser,Average,0.033,0.086,0.109,0.054,0.096,0.026,0.035,0.029,-0.099,0.043
107,107,dumbbell,Average,0,0,0,0,0,0,0,0,0,0
110,110,egg,Average,-0.0105,0.2075,-0.021,-0.0005,0.116,-0.0175,0.0045,0.0305,0.109,0.06
113,113,faucet,Average,-0.127,0.492,-0.0295,0.081,0.003,-0.015,0.0695,0.0345,0.0245,-0.03
115,115,floor,Average,0,0,0,0,0,0,0,0,0,0
117,117,floor_lamp,Average,0,0,0,0,0,0,0,0,0,0
119,119,footstool,Average,0,0,0,0,0,0,0,0,0,0
123,123,fork,Average,0.004666667,-0.029,0.044666667,0.045,0.043666667,-0.012,-0.040333333,-0.034666667,0.162333333,0.056333333
125,125,fridge,Average,0.032,0.049,0.043,-0.062,0.049,0.073,-0.004,0.045,0.086,0.041
127,127,garbage_bag,Average,0,0,0,0,0,0,0,0,0,0
128,128,garbage_can,Average,0,0,0,0,0,0,0,0,0,0
129,129,hand_towel,Average,0,0,0,0,0,0,0,0,0,0
131,131,hand_towel_holder,Average,0,0,0,0,0,0,0,0,0,0
133,133,house_plant,Average,0,0,0,0,0,0,0,0,0,0
135,135,kettle,Average,0,0,0,0,0,0,0,0,0,0
137,137,key_chain,Average,0,0,0,0,0,0,0,0,0,0
143,143,knife,Average,-0.003,0.0746,0.002,0.0118,0.0332,0.091,0.1386,0.08,-0.006,0.043
145,145,ladle,Average,0,0,0,0,0,0,0,0,0,0
147,147,laptop,Average,0,0,0,0,0,0,0,0,0,0
149,149,laundry_hamper,Average,0,0,0,0,0,0,0,0,0,0
151,151,lettuce,Average,0,0,0,0,0,0,0,0,0,0
153,153,light_switch,Average,0,0,0,0,0,0,0,0,0,0
158,158,microwave,Average,0.0015,0.01825,0.02225,0.01,0.0015,0.03625,0.01175,0,0.0345,0.0135
160,160,mirror,Average,-0.02,-0.036,0.038,0.091,0.012,-0.02,0.067,-0.066,0.038,-0.06
162,162,mug,Average,0.035,-0.009,0.034,0.105,-0.009,0.004,-0.047,-0.045,0.211,0.014
168,168,newspaper,Average,0.0182,0.0324,0.0374,-0.016,0.0762,0.0194,0.0092,0.0672,0.0008,0.0254
170,170,ottoman,Average,0,0,0,0,0,0,0,0,0,0
174,174,painting,Average,0.056333333,0.000333333,0.060666667,0.018,0.028666667,-0.021666667,0.034,0.031333333,0.042333333,-0.050333333
176,176,pan,Average,0,0,0,0,0,0,0,0,0,0
178,178,paper_towel_roll,Average,0,0,0,0,0,0,0,0,0,0
182,182,pen,Average,-0.012333333,-0.013,-0.052,0.048666667,0.028,0.054666667,0.011666667,-0.027333333,0.050666667,0.007333333
188,188,pencil,Average,-0.024,0.0168,-0.009,0.0054,0.0256,0.0494,0.0386,-0.018,0.0602,0.0046
190,190,pepper_shaker,Average,0,0,0,0,0,0,0,0,0,0
192,192,pillow,Average,0,0,0,0,0,0,0,0,0,0
194,194,plate,Average,0,0,0,0,0,0,0,0,0,0
196,196,plunger,Average,0,0,0,0,0,0,0,0,0,0
198,198,poster,Average,0,0,0,0,0,0,0,0,0,0
201,201,pot,Average,-0.068,-0.058,0.001,-0.02,0.113,-0.002,0.009,0.094,-0.069,0.168
203,203,potato,Average,0.016,-0.048,0.062,0.055,0.007,0.019,0.037,0.107,-0.09,-0.022
205,205,remote_control,Average,0,0,0,0,0,0,0,0,0,0
207,207,room_decor,Average,0,0,0,0,0,0,0,0,0,0
209,209,safe,Average,0,0,0,0,0,0,0,0,0,0
211,211,salt_shaker,Average,0,0,0,0,0,0,0,0,0,0
213,213,scrub_brush,Average,0,0,0,0,0,0,0,0,0,0
216,216,shelf,Average,-0.03,-0.0335,0.043,0.0115,0.055,-0.022,-0.0685,-0.053,0.107,0.013
218,218,shelving_unit,Average,0,0,0,0,0,0,0,0,0,0
220,220,shower_curtain,Average,0.112,0.031,-0.011,0.015,-0.011,0.027,0.029,0.011,-0.013,1
222,222,shower_door,Average,0,0,0,0,0,0,0,0,0,0
224,224,shower_glass,Average,0,0,0,0,0,0,0,0,0,0
226,226,shower_head,Average,0,0,0,0,0,0,0,0,0,0
228,228,side_table,Average,0,0,0,0,0,0,0,0,0,0
230,230,sink,Average,0,0,0,0,0,0,0,0,0,0
232,232,sink_basin,Average,0,0,0,0,0,0,0,0,0,0
234,234,soap_bar,Average,0,0,0,0,0,0,0,0,0,0
236,236,soap_bottle,Average,0,0,0,0,0,0,0,0,0,0
