,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
141,baseball_glove,Average,0,0,0,0,0,0,0,0,0,0
142,skateboard,paint_baseboards,-0.086,0.027,0.061,0.099,-0.001,-0.06,-0.048,0.021,0.133,0.019
143,skateboard,Average,-0.086,0.027,0.061,0.099,-0.001,-0.06,-0.048,0.021,0.133,0.019
144,surfboard,,0,0,0,0,0,0,0,0,0,0
145,surfboard,Average,0,0,0,0,0,0,0,0,0,0
146,wine_glass,,0,0,0,0,0,0,0,0,0,0
147,wine_glass,Average,0,0,0,0,0,0,0,0,0,0
148,banana,eating,0.036,0.044,-0.055,0.028,0.001,0.107,0.059,-0.04,0.068,-0.022
149,banana,Average,0.036,0.044,-0.055,0.028,0.001,0.107,0.059,-0.04,0.068,-0.022
150,sandwich,,0,0,0,0,0,0,0,0,0,0
151,sandwich,Average,0,0,0,0,0,0,0,0,0,0
152,orange,warning_signs,0.035,0.102,-0.004,-0.053,0.095,0.058,-0.014,0.019,-0.055,-0.003
153,orange,Average,0.035,0.102,-0.004,-0.053,0.095,0.058,-0.014,0.019,-0.055,-0.003
154,broccoli,,0,0,0,0,0,0,0,0,0,0
155,broccoli,Average,0,0,0,0,0,0,0,0,0,0
156,carrot,,0,0,0,0,0,0,0,0,0,0
157,carrot,Average,0,0,0,0,0,0,0,0,0,0
158,hot_dog,,0,0,0,0,0,0,0,0,0,0
159,hot_dog,Average,0,0,0,0,0,0,0,0,0,0
160,pizza,,0,0,0,0,0,0,0,0,0,0
161,pizza,Average,0,0,0,0,0,0,0,0,0,0
162,donut,,0,0,0,0,0,0,0,0,0,0
163,donut,Average,0,0,0,0,0,0,0,0,0,0
164,cake,eating,0.036,0.044,-0.055,0.028,0.001,0.107,0.059,-0.04,0.068,-0.022
165,cake,dessert,0.009,0.071,-0.027,-0.015,-0.033,0.096,0.203,0.054,0.004,0.021
166,cake,celebrate,-0.046,0.016,0.004,0.027,-0.07,0.03,0.053,0.065,0.073,0.072
167,cake,decorating,-0.002,0.077,0.102,-0.011,-0.003,0.097,-0.041,-0.026,-0.054,0.024
168,cake,a_gift,-0.051,-0.006,-0.061,-0.005,-0.062,-0.009,-0.004,0.062,-0.007,0.021
169,cake,Average,-0.0108,0.0404,-0.0074,0.0048,-0.0334,0.0642,0.054,0.023,0.0168,0.0232
170,furnish_your_home,-0.029,0.082,0.179,-0.037,0.061,0.072,-0.026,0.013,-0.054,0.102,0.102
171,sleeping,0.036,-0.016,-0.042,-0.057,-0.013,0.039,-0.016,-0.007,-0.028,0.06,0.06
172,relaxing,-0.025,0.17,-0.028,-0.058,0.017,-0.007,0.044,-0.02,-0.034,0,-1
173,lying_on_it,-0.059,0.048,-0.099,0.092,-0.001,0.037,0.055,0.1,-0.01,0.011,-1
174,furnishing,0.004,0.059,0.126,-0.043,0.024,0.055,-0.067,0.025,-0.096,0.066,-1
175,Average,-0.0146,0.0686,0.0272,-0.0206,0.0176,0.0392,-0.002,0.0222,-0.0444,0.0478,-0.5676
176,potted_plant,,0,0,0,0,0,0,0,0,0,0
177,potted_plant,Average,0,0,0,0,0,0,0,0,0,0
178,mouse,surfing,0.046,0.097,0.03,-0.068,0.077,0.065,-0.013,0.022,-0.004,-0.113
179,mouse,computer_input,-0.114,0.092,0.016,-0.043,0.201,0.082,0.043,-0.008,-0.016,-0.014
180,mouse,operate,0.126,-0.008,-0.058,0.088,0.165,0.177,0.048,0.14,0.058,0.132
181,mouse,move,0.112,0.031,-0.011,0.015,-0.011,0.027,0.029,0.011,-0.013,1
182,mouse,control_a_computer,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
183,mouse,Average,0.1048,0.034,-0.0032,-0.0046,0.132,0.1046,0.0122,0.046,0.0194,0.1884
184,keyboard,typing,0.153,0.017,0.017,0.014,0.131,0.037,-0.085,0.032,-0.001,0.057
185,keyboard,playing_music,0.039,0.02,-0.049,0.062,-0.009,-0.036,-0.011,0.042,0.067,0.002
186,keyboard,type_a_letter,-0.068,-0.006,0.067,0.007,-0.077,-0.079,0.065,-0.027,0,0.019
187,keyboard,communicating,0.028,0.026,0.043,-0.062,0.08,0.009,-0.047,-0.001,0.028,0.007
188,keyboard,entering_text,0.011,0.106,-0.007,0.028,0.034,-0.086,0.036,0.192,-0.046,0.023
189,keyboard,Average,0.0326,0.0326,0.0142,0.0098,0.0318,-0.031,-0.0084,0.0476,0.0096,0.0216
190,oven,cooking,-0.023,0.035,0.031,0.033,0.098,0.707,0.048,0.029,-0.016,-0.002
191,oven,bake_cookies,-0.018,0.053,0.062,0.03,0.024,0.509,0.209,0.05,0,-0.066
192,oven,baking_food,-0.008,-0.032,0.059,-0.042,-0.01,0.463,0.181,-0.038,-0.011,-0.064
193,oven,bake_a_cake,-0.115,0.026,0.07,-0.03,0.021,0.622,0.182,0.072,0.025,-0.027
194,oven,roasting,-0.073,0.056,-0.015,0.01,-0.063,0.39,0.037,0.002,0.034,-0.048
195,oven,Average,-0.0474,0.0276,0.0414,0.0002,0.014,0.5382,0.1314,0.023,0.0064,-0.0414
196,clock,measure_time,0.015,-0.025,-0.034,0.016,0.126,-0.007,0.12,-0.024,-0.001,-0.007
197,clock,keeping_time,-0.1,0.038,0.038,0.054,0.101,0.015,-0.082,-0.057,0.091,-0.08
198,clock,set_an_alarm,0.09,0.06,0.075,0.077,0.073,0.096,0.084,0.052,0.121,0.021
199,clock,timing_something,0.051,0.033,-0.009,0.062,-0.056,0.091,-0.027,0.046,0.071,0.048
200,clock,setting_alarm,0.022,-0.039,0.09,0.035,0.1,0.069,0.108,0.01,0.017,-0.025
201,clock,Average,0.0156,0.0134,0.032,0.0488,0.0688,0.0528,0.0406,0.0054,0.0598,-0.0086
202,scissors,cut,0.011,0.182,-0.034,-0.089,0.008,0.059,0.477,0.087,-0.035,0.034
203,scissors,cut_a_string,-0.008,0.037,0.035,-0.047,-0.006,-0.099,-0.105,-0.04,0.12,-0.143
204,scissors,"""cut_someones_hair""",0,0,0,0,0,0,0,0,0,0
205,scissors,cut_your_sisters_pigtail_off,0.045,0.132,-0.031,0.017,0.013,-0.004,0.209,0.055,0.195,0.08
206,scissors,cut_leather,0.045,0.132,-0.031,0.017,0.013,-0.004,0.209,0.055,0.195,0.08
207,scissors,Average,0.0186,0.0966,-0.0122,-0.0204,0.0056,-0.0096,0.158,0.0314,0.095,0.0102
208,hair_drier,,0,0,0,0,0,0,0,0,0,0
209,hair_drier,Average,0,0,0,0,0,0,0,0,0,0
210,tooth_brush,cleaning_teeth,-0.071,0.04,-0.027,0.23,0.048,0.134,-0.003,-0.038,0.197,-0.032
211,tooth_brush,Average,-0.071,0.04,-0.027,0.23,0.048,0.134,-0.003,-0.038,0.197,-0.032
